Route_Number,Reason,Boro,Boro Code,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M9006,Late return from Field Trip,Manhattan,MA,SNT BUS INC,20.00,30,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,12,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,11,Running Late
4,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,13,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
K315,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
6,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
7,Other,Brooklyn,BR,"G.V.C., LTD.",5.00,12,Running Late
Q345,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",25.00,11,Running Late
18,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,15,Running Late
6,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
8,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
Q9999,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,20.00,35,Running Late
K932,Late return from Field Trip,Brooklyn,BR,Y & M TRANSIT CORP (B2192,45.00,40,Running Late
Q9934,Late return from Field Trip,Queens,QS,EMPIRE STATE BUS CORP.,30.00,22,Running Late
Q9989,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,20.00,25,Running Late
X8538,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,30,Running Late
K159,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,15,Running Late
X125,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,30,Running Late
Q9964,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,25,Running Late
K062,Late return from Field Trip,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,30.00,25,Running Late
X9014,Late return from Field Trip,Brooklyn,BR,BOBBY`S BUS CO. INC.,15.00,18,Running Late
Q075,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,16,Running Late
K192,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",40.00,12,Running Late
X082,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,11,Running Late
K314,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,12,Running Late
Q2801,Heavy Traffic,Queens,QS,JOFAZ TRANSPORTATION INC.,15.00,12,Running Late
X385,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,25,Running Late
X043,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,25,Running Late
Q189,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,25,Running Late
K203,Late return from Field Trip,Brooklyn,BR,EMPIRE STATE BUS CORP.,30.00,25,Running Late
X9314,Late return from Field Trip,Brooklyn,BR,BOBBY`S BUS CO. INC.,30.00,20,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,21,Running Late
K082,Other,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,13,Running Late
Q2902,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,20.00,11,Running Late
M723,Heavy Traffic,Manhattan,MA,HOYT TRANSPORTATION CORP.,20.00,11,Running Late
X262,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),30.00,12,Running Late
BX12,Other,Brooklyn,BR,PHILLIPS BUS SERVICE,15.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,12,Running Late
Q245,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,20.00,25,Running Late
K9433,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,25,Running Late
K082,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,15.00,25,Running Late
K237,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,22,Running Late
K9408,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,25,Running Late
X022,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,30,Running Late
Q157,Late return from Field Trip,Queens,QS,EMPIRE CHARTER SERVICE IN,20.00,15,Running Late
X2330,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,30,Running Late
X9359,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,17,Running Late
X237,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,20,Running Late
X137,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),16.00,11,Running Late
K219,Mechanical Problem,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",50.00,45,Running Late
X093,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,20,Running Late
X9115,Late return from Field Trip,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",30.00,25,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
K1427,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,11,Running Late
M486,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,20.00,15,Running Late
K082,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,12,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
K314,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,13,Running Late
X001,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),15.00,12,Running Late
K1733,Accident,Brooklyn,BR,JOFAZ TRANSPORTATION INC.,0.00,15,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
MN6,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",20.00,20,Running Late
6,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,13,Running Late
8,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,12,Running Late
X2312,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,30,Running Late
K301,Other,Brooklyn,BR,EMPIRE STATE BUS CORP.,15.00,11,Running Late
VN2,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,11,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
K315,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,20.00,12,Running Late
X226,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,20.00,13,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,18,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,15,Running Late
X184,Heavy Traffic,Brooklyn,BR,"RELIANT TRANS, INC. (B232",15.00,15,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,15,Running Late
X2280,Other,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",45.00,12,Running Late
K188,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),40.00,19,Running Late
K301,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,15.00,11,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,15.00,12,Running Late
K317,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",35.00,13,Running Late
VN2,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,11,Running Late
MBX2,Heavy Traffic,Queens,QS,ALINA SERVICES CORP.,15.00,15,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,11,Running Late
K314,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,12,Running Late
X196,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,12,Running Late
K315,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,12,Running Late
MBX2,Heavy Traffic,Queens,QS,ALINA SERVICES CORP.,15.00,15,Running Late
K062,Other,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
X272,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),15.00,12,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,15.00,15,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,45.00,13,Running Late
JB05,Heavy Traffic,Queens,QS,ALINA SERVICES CORP.,15.00,12,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,19,Running Late
NT02,Heavy Traffic,Queens,QS,ALINA SERVICES CORP.,15.00,17,Running Late
X183,Delayed by School,Brooklyn,BR,"BORO TRANSIT, INC.",30.00,15,Running Late
Q9934,Late return from Field Trip,Queens,QS,EMPIRE STATE BUS CORP.,30.00,25,Running Late
Q110,Late return from Field Trip,Queens,QS,PRIDE TRANSPORTATION (SCH,30.00,20,Running Late
Q9980,Late return from Field Trip,Queens,QS,PRIDE TRANSPORTATION (SCH,30.00,30,Running Late
Q177,Late return from Field Trip,Queens,QS,PRIDE TRANSPORTATION (SCH,30.00,25,Running Late
KN-03,Other,Queens,QS,ALINA SERVICES CORP.,15.00,19,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
8,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
K1428,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,15.00,15,Running Late
K082,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,15.00,13,Running Late
2,Problem Run,Brooklyn,BR,"G.V.C., LTD.",10.00,11,Running Late
Q3005,Heavy Traffic,Queens,QS,PIONEER TRANSPORTATION CO,10.00,20,Running Late
Q3015,Heavy Traffic,Queens,QS,PIONEER TRANSPORTATION CO,10.00,30,Running Late
Q3026,Flat Tire,Queens,QS,PIONEER TRANSPORTATION CO,30.00,20,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
NYM-1,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,18,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,13,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
Q623,Heavy Traffic,Queens,QS,TWENTY FIRST AV TRANSP (B,45.00,11,Running Late
2,Weather Conditions,Brooklyn,BR,"G.V.C., LTD.",25.00,11,Running Late
Q9959,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,20.00,40,Running Late
X061,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,20,Running Late
X301,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,20,Running Late
X175,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,20,Running Late
Q888,Late return from Field Trip,Queens,QS,LITTLE RICHIE BUS SERVICE,50.00,12,Running Late
X073,Accident,Brooklyn,BR,"CONSOLIDATED BUS TRANSIT, INC.",61.00,12,Running Late
X2248,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,19,Running Late
X2321,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,40,Running Late
X2097,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,22,Running Late
P628,Other,Queens,QS,JOFAZ TRANSPORTATION INC.,15.00,12,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",25.00,15,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
R558,Other,Staten Island,STI,VINNY`S BUS SERVICES (B23,30.00,11,Running Late
K078,Heavy Traffic,Brooklyn,BR,JOFAZ TRANSPORTATION INC.,30.00,11,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,11,Running Late
X9041,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,20.00,30,Running Late
X9237,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CORP,25.00,15,Running Late
6,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",0.00,12,Running Late
X102,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,20.00,20,Running Late
Q012,Late return from Field Trip,Queens,QS,PRIDE TRANSPORTATION (SCH,30.00,25,Running Late
X9071,Late return from Field Trip,Brooklyn,BR,LOGAN TRANSPORTATION SYST,20.00,25,Running Late
K301,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,13,Running Late
K315,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
K150,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",45.00,12,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
3,Other,Brooklyn,BR,"G.V.C., LTD.",20.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,11,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
M375,Heavy Traffic,Manhattan,MA,"NEW DAWN TRANSIT, LLC (B2",45.00,12,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,45.00,14,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,11,Running Late
M9188,Mechanical Problem,Manhattan,MA,SNT BUS INC,30.00,30,Running Late
K301,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,15.00,11,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
K314,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
K315,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,12,Running Late
X235,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,10.00,11,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,12,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,15,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,45.00,14,Running Late
Q2801,Heavy Traffic,Queens,QS,JOFAZ TRANSPORTATION INC.,12.00,20,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,16,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,15,Running Late
MN1,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,11,Running Late
M014,Other,Manhattan,MA,"BORO TRANSIT, INC.",45.00,25,Running Late
Q3052,Heavy Traffic,Queens,QS,LOGAN BUS COMPANY INC.,25.00,15,Running Late
K022,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",45.00,55,Running Late
X2008,Accident,Brooklyn,BR,PIONEER TRANSPORTATION CO,40.00,14,Running Late
X2341,Accident,Brooklyn,BR,PIONEER TRANSPORTATION CO,40.00,20,Running Late
Q3005,Heavy Traffic,Queens,QS,PIONEER TRANSPORTATION CO,10.00,13,Running Late
NT03,Other,Queens,QS,ALINA SERVICES CORP.,18.00,19,Running Late
K314,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,13,Running Late
X161,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),20.00,12,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,15,Running Late
HK5,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,12,Running Late
K301,Delayed by School,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,13,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,15,Running Late
K009,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",20.00,12,Running Late
Q9663,Late return from Field Trip,Queens,QS,QUALITY TRANSPORTATION CO,15.00,30,Running Late
X2001,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,5.00,28,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,13,Running Late
K314,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,12,Running Late
VN4,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,11,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,14,Running Late
VN2,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",20.00,13,Running Late
X186,Heavy Traffic,Brooklyn,BR,"BORO TRANSIT, INC.",20.00,13,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",25.00,20,Running Late
X174,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,14,Running Late
X2215,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,35,Running Late
K9410,Accident,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,24,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,15,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
X054,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),20.00,12,Running Late
R538,Other,Staten Island,STI,VINNY`S BUS SERVICES (B23,20.00,12,Running Late
X2023,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,15.00,15,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,11,Running Late
X067,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),15.00,13,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,14,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,15.00,13,Running Late
X034,Heavy Traffic,Brooklyn,BR,"RELIANT TRANS, INC. (B232",25.00,11,Running Late
M1045,Other,Manhattan,MA,SNT BUS INC,45.00,27,Running Late
Q2485,Other,Queens,QS,BOBBY`S BUS CO. INC.,15.00,23,Running Late
B0418A,Other,Brooklyn,BR,L & M BUS CORP.,10.00,12,Running Late
X085,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,15,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,13,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,14,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",31.00,11,Running Late
K1432,Mechanical Problem,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,19,Running Late
K301,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,11,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
X065,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),15.00,12,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
K1425,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,40,Running Late
Q053,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",20.00,14,Running Late
5,Weather Conditions,Brooklyn,BR,"G.V.C., LTD.",5.00,18,Running Late
Q072,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",20.00,21,Running Late
4,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,13,Running Late
R538,Heavy Traffic,Staten Island,STI,VINNY`S BUS SERVICES (B23,10.00,12,Running Late
X264,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,14,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",46.00,14,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,12,Running Late
K150,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",25.00,13,Running Late
R671,Heavy Traffic,Staten Island,STI,"RELIANT TRANS, INC. (B2321)",46.00,16,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,14,Running Late
K314,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,12,Running Late
K315,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
NYM6,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,13,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,15,Running Late
K082,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,15,Running Late
X2330,Other,Brooklyn,BR,PIONEER TRANSPORTATION CO,20.00,31,Running Late
K036,Late return from Field Trip,Brooklyn,BR,JOFAZ TRANSPORTATION INC.,40.00,20,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
K042,Late return from Field Trip,Brooklyn,BR,JOFAZ TRANSPORTATION INC.,40.00,25,Running Late
K290,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE INC,16.00,11,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",25.00,13,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,13,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
NM1,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",0.00,14,Running Late
M1450,Other,Manhattan,MA,SNT BUS INC,15.00,30,Running Late
X2276,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CORP,0.00,28,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,11,Running Late
X226,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CORP,0.00,14,Running Late
K301,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,12,Running Late
Q157,Heavy Traffic,Queens,QS,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
DBA2,Heavy Traffic,Queens,QS,ALINA SERVICES CORP.,35.00,25,Running Late
K686,Other,Brooklyn,BR,CAREFUL BUS,60.00,33,Running Late
K314,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
K288,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
K315,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,15.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,13,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,11,Running Late
Q158,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",30.00,12,Running Late
K188,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",15.00,14,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
X022,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,13,Running Late
K953,Late return from Field Trip,Brooklyn,BR,Y & M TRANSIT CORP (B2192,0.00,20,Running Late
K9507,Late return from Field Trip,Brooklyn,BR,ALL AMERICAN SCHOOL BUS C,40.00,50,Running Late
K9515,Late return from Field Trip,Brooklyn,BR,ALL AMERICAN SCHOOL BUS C,35.00,45,Running Late
K9557,Late return from Field Trip,Brooklyn,BR,ALL AMERICAN SCHOOL BUS C,35.00,46,Running Late
X279,Heavy Traffic,Brooklyn,BR,"RELIANT TRANS, INC. (B2321)",46.00,15,Running Late
K1623,Late return from Field Trip,Brooklyn,BR,LOGAN BUS COMPANY INC.,45.00,38,Running Late
K203,Delayed by School,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,30,Running Late
K089,Other,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,16,Running Late
M31,Other,Brooklyn,BR,PHILLIPS BUS SERVICE,15.00,18,Running Late
W671,Heavy Traffic,Westchester,WES,ALL COUNTY BUS LLC (B2321,45.00,11,Running Late
HK-1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,10.00,11,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,14,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
MN5,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",15.00,16,Running Late
M805,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,20.00,15,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
K1428,Other,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,11,Running Late
K301,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,11,Running Late
X2001,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,45.00,12,Running Late
M1098,Heavy Traffic,Manhattan,MA,SNT BUS INC,15.00,20,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
M485,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,20.00,11,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
X2358,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,30.00,21,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,16,Running Late
K670,Heavy Traffic,Brooklyn,BR,CAREFUL BUS,30.00,15,Running Late
